Brand,Car Model,Price
Tata,Sumo Grande MKII EX BS IV,"7,70,727"
Tata,Sumo Grande MKII GX BS IV,"8,38,811"
Chevrolet,Aveo 1.4 LS BSIV,"5,90,254"
Chevrolet,Aveo 1.4 LS,"5,90,868"
Chevrolet,Aveo 1.4 CNG,"5,91,554"
Chevrolet,Aveo 1.4 LT,"6,69,407"
Chevrolet,Aveo 1.4 LT BSIV,"6,69,980"
Chevrolet,Aveo 1.4 LT with ABS,"6,98,528"
Chevrolet,Aveo 1.4 LT ABS BSIV,"6,99,102"
Chevrolet,Aveo 1.6 LT with ABS,"7,25,520"
Tata,Sumo Victa EX 10/7 Str BSII,"5,90,794"
Tata,Sumo Victa EX 10/7 Str BSIII,"6,06,190"
Chevrolet,Tavera B1-10 seats BSII,"5,92,691"
Chevrolet,Tavera B1-7 seats BSII,"6,04,394"
Chevrolet,Tavera B1-10 seats BSIII,"6,41,203"
Chevrolet,Tavera B1-7 seats BSIII,"6,53,022"
Chevrolet,Tavera B1 10 seats BSIII BG,"6,62,651"
Chevrolet,Tavera B1 7 seats BSIII BG,"6,74,298"
Chevrolet,Tavera B2-10 seats BSII,"6,74,713"
Chevrolet,Tavera B2-7 seats BSII,"6,86,764"
Chevrolet,Tavera B2-10 seats BSIII,"7,23,467"
Chevrolet,Tavera B2-7 seats BSIII,"7,35,287"
Chevrolet,Tavera B2 10 seats BSIII BG,"7,45,374"
Chevrolet,Tavera B2 7 seats BSIII BG,"7,56,907"
San Motors,Storm 1.2,"5,95,000"
Tata,Sumo Victa GX 7 Str BSII,"6,22,793"
Tata,Sumo Victa GX TC 7 Str BSIII,"6,73,386"
Fiat,Linea Active,"6,51,684"
Fiat,Linea Dynamic,"6,78,690"
Fiat,Linea Emotion,"7,44,705"
Fiat,Linea Active (Diesel),"7,47,706"
Fiat,Linea Emotion Pack,"7,75,713"
Fiat,Linea Dynamic (Diesel),"7,77,713"
Fiat,Linea Emotion (Diesel),"8,23,723"
Fiat,Linea T Jet,"8,56,461"
Fiat,Linea Emotion Pack (Diesel),"8,79,737"
Fiat,Linea T Jet Plus,"9,06,473"
Volkswagen,Vento Petrol Trendline,"6,99,000"
Volkswagen,Vento Petrol Breeze,"7,84,668"
Volkswagen,Vento Diesel Trendline,"7,99,000"
Volkswagen,Vento Petrol Highline,"8,23,500"
Volkswagen,Vento Diesel Breeze,"9,16,961"
Volkswagen,Vento Petrol Highline AT,"9,21,500"
Volkswagen,Vento Diesel Highline,"9,23,500"
Hyundai,Verna 1.4 VTVT,"6,99,655"
Hyundai,Verna 1.6 VTVT,"7,69,993"
Hyundai,Verna 1.4 CRDi,"8,09,651"
Hyundai,Verna 1.6 SX VTVT,"8,29,995"
Hyundai,Verna 1.6 VGT CRDi,"8,89,996"
Hyundai,Verna 1.6 SX VTVT (O),"8,99,993"
Hyundai,Verna 1.6 SX,"9,49,994"
Hyundai,Verna 1.6 SX VTVT AT,"9,69,996"
Hyundai,Verna 1.6 SX CRDi (O),"10,19,994"
Hyundai,Verna SX CRDi AT,"10,89,997"
Maruti,SX4 Vxi BSIV,"7,00,006"
Maruti,SX4 Green Vxi (CNG),"7,58,005"
Maruti,SX4 ZXI MT BSIV,"7,75,173"
Maruti,SX4 VDI,"7,78,999"
Maruti,SX4 ZXI MT BSIV Leather,"8,09,262"
Maruti,SX4 ZXI AT,"8,41,270"
Maruti,SX4 ZDI,"8,66,999"
Maruti,SX4 ZXI AT Leather,"8,75,360"
Maruti,SX4 ZDI Leather,"9,01,088"
Mahindra,Xylo D2,"7,24,300"
Mahindra,Xylo D2 BS IV,"7,37,600"
Mahindra,Xylo D4 BSIII,"7,81,100"
Mahindra,Xylo E4,"7,86,500"
Mahindra,Xylo D4,"7,90,400"
Mahindra,Xylo E4 BS IV,"7,96,500"
Mahindra,Xylo E6,"8,41,400"
Mahindra,Xylo E6 BS IV,"8,51,600"
